"filename", "language", "XML", "C#", "Markdown", "JSON", "comment", "blank", "total"
"d:\Working\MlkAdmin\3_Infrastructure\Configuration\Providers\Jsons\Abstraction\IJsonProvider.cs", "C#", 0, 5, 0, 0, 0, 2, 7
"d:\Working\MlkAdmin\3_Infrastructure\Configuration\Providers\Jsons\Abstraction\IJsonProvidersHub.cs", "C#", 0, 12, 0, 0, 0, 3, 15
"d:\Working\MlkAdmin\3_Infrastructure\Configuration\Providers\Jsons\Abstraction\IJsonRolesProvider.cs", "C#", 0, 8, 0, 0, 0, 3, 11
"d:\Working\MlkAdmin\3_Infrastructure\Configuration\Providers\Jsons\Realization\JsonCategoriesProvider.cs", "C#", 0, 16, 0, 0, 0, 2, 18
"d:\Working\MlkAdmin\3_Infrastructure\Configuration\Providers\Jsons\Realization\JsonChannelsProvider.cs", "C#", 0, 23, 0, 0, 0, 3, 26
"d:\Working\MlkAdmin\3_Infrastructure\Configuration\Providers\Jsons\Realization\JsonConfigProvider.cs", "C#", 0, 12, 0, 0, 0, 2, 14
"d:\Working\MlkAdmin\3_Infrastructure\Configuration\Providers\Jsons\Realization\JsonDynamicMessagesProvider.cs", "C#", 0, 14, 0, 0, 0, 2, 16
"d:\Working\MlkAdmin\3_Infrastructure\Configuration\Providers\Jsons\Realization\JsonEmotesProvider.cs", "C#", 0, 12, 0, 0, 0, 5, 17
"d:\Working\MlkAdmin\3_Infrastructure\Configuration\Providers\Jsons\Realization\JsonPicturesProvider.cs", "C#", 0, 17, 0, 0, 0, 3, 20
"d:\Working\MlkAdmin\3_Infrastructure\Configuration\Providers\Jsons\Realization\JsonProviderBase.cs", "C#", 0, 28, 0, 0, 0, 8, 36
"d:\Working\MlkAdmin\3_Infrastructure\Configuration\Providers\Jsons\Realization\JsonRolesProvider.cs", "C#", 0, 40, 0, 0, 0, 11, 51
"d:\Working\MlkAdmin\3_Infrastructure\Database\MlkAdminDbContext.cs", "C#", 0, 11, 0, 0, 0, 4, 15
"d:\Working\MlkAdmin\3_Infrastructure\Implementations\Builders\DiscordEmbedBuilder.cs", "C#", 0, 51, 0, 0, 0, 14, 65
"d:\Working\MlkAdmin\3_Infrastructure\Implementations\Builders\DiscordMessageComponentsBuilder.cs", "C#", 0, 33, 0, 0, 0, 6, 39
